Estado,Municípios,Característica,Nome da Manifestação,Nome da Manifestação 2,Data,No de Participantes,Tipo de Trabalho,Tipo de Reivindicação,Type of Claim,Claim Category,Tipo de Violência,Type of Violence
Paraíba,São José de Piranhas,Água,"Bloq. das Obras da Transp.
do Rio São Francisco",,14/2/2010,200,,Indenização,Indemnity,Debt,,
Paraíba,Sousa,Questões ambientais,Bloq. BR-457,"Contra Grupo
Santana",27/1/2010,90,,Saúde/ Defesa da água e do meio ambiente/ Soberania alimentar,Health/Defense of water and the environment/Food sovereignty,Environment,,
Paraná,Alvorada do Sul,Terra,Bloq. da PR-090,"Faz.
Maquita",18/3/2010,500,,Reforma Agrária,Land reform,Land Reform,,
Paraná,Chopinzinho,Questão Indígena,Bloq. BR-373,"Contra Decreto
7.056",12/1/2010,,,Direitos humanos,Human rights,Human Rights,,
Paraná,Chopinzinho,Questão Indígena,Bloqueio da BR-373,,12/1/2010,1000,,Políticas públicas,Public Policies,Public Policies,,
Paraná,Guaíra,Questão Indígena,"Bloq. na Ponte Ayrton
Sena","Aldeia Tekoá
Marangatu",21/6/2010,250,,Infraestrutura/ Políticas p ú b  l ic a s,Infrastructure/Public Policies,Public Policies,,
Paraná,Guaratuba,Água,Bloqueio de Ferryboat,,21/5/2010,90,,Seguro defeso,Securely closed,Environment,,
Paraná,Jataizinho,Questão Indígena,"Bloq. da Pça de Pedágio na
BR-369",,13/1/2010,60,,Políticas públicas,Public Policies,Public Policies,,
Paraná,Mangueirinha,Questão Indígena,Bloqueio da PR-281,,12/1/2010,1000,,Políticas públicas,Public Policies,Public Policies,,
Paraná,Pato Branco,Questão Indígena,Bloqueio da BR-373,,13/1/2010,,,Políticas públicas,Public Policies,Public Policies,,
Pernambuco,Recife,Terra,"Bloq. da Avenida Rosa e
Silva",Ocup. do Incra,27/7/2010,,,Infraestrutura/ Assistência técnica/ Reforma Agrária,Infrastructure/Technical Assistance/Agrarian Reform,Infrastructure,,
Rio Grande do Norte,Tibaú,Terra,Bloq. da BR-304,"Faz. Santa
Júlia",26/2/2010,50,,Desapropriação,Expropriation,Property,,
Rio Grande do Sul,Canguçu,Política Agrícola,Bloqueio da BR-392,,26/5/2010,100,,Crédito/ Renegociação de dívidas/ Incentivos à pequena produção,Credit/Debt Renegotiation/Small Production Incentives,Welfare,,
Rio Grande do Sul,Esteio,Questões ambientais,Bloq. BR-116,"Jornada Nac.
de Luta das Mulheres",4/3/2010,800,,Contra Transgênicos/ Soberania alimentar,Against GMOs/Food sovereignty,Environment,,
Rio Grande do Sul,Júlio de Castilhos,Terra,Bloq. da BR-158,"Assassinato
de Elton Brum",20/8/2010,40,,Contra a injustiça e a violência/ Contra impunidade,Against injustice and violence/Against impunity,Injustice,,
Rio Grande do Sul,Júlio de Castilhos,Direitos Humanos,Bloq. BR-158,"Jornada Nac.
de Luta pela R.A.",20/4/2010,,,Educação/ Contra impunidade,Education/Against impunity,Education,,
Rio Grande do Sul,Palmeira das Missões,Terra,"Bloq. da
ERS-569","Assassinato de
Elton Brum",20/8/2010,,,Contra a injustiça e a violência/ Contra impunidade,Against injustice and violence/Against impunity,Injustice,,
Rio Grande do Sul,Palmeira das Missões,Questões ambientais,Bloq. RS-569,"Jornada Nac.
de Luta das Mulheres",4/3/2010,800,,Contra Transgênicos/ Soberania alimentar,Against GMOs/Food sovereignty,Environment,,
Rio Grande do Sul,Piratini,Direitos Humanos,Bloq. BR-158,"Jornada Nac.
de Luta pela R.A.",20/4/2010,,,Educação/ Contra impunidade,Education/Against impunity,Public Policies,,
Rio Grande do Sul,Rio Pardo,Questões ambientais,Bloq. BR-471,"Jornada Nac.
de Luta das Mulheres",4/3/2010,1000,,Contra Transgênicos/ Soberania alimentar,Against GMOs/Food sovereignty,Environment,Agressão,Aggression
Rio Grande do Sul,São Gabriel,Terra,Bloq. da BR-290,"Assassinato
de Elton Brum",20/8/2010,150,,Contra a injustiça e a violência/ Contra impunidade,Against injustice and violence/Against impunity,Injustice,,
Rio Grande do Sul,São Luiz Gonzaga,Direitos Humanos,Bloq. BR-285,"Jornada Nac.
de Luta pela R.A.",20/4/2010,200,,Educação/ Contra impunidade,Education/Against impunity,Public Policies,,
Rondônia,Jaru,Terra,Bloq. da BR-364,"Jornada de
Lutas",27/5/2010,200,,Crédito,Credit,Welfare,,
Santa Catarina,Bom Jesus,Terra,"Bloq. de Estrada entre Bom
Jesus e Entre Rios","T.I.
Xapecó",21/9/2010,,,Saúde/ Políticas públicas,Health/Public Policies,Public Policies,,
Santa Catarina,Capão Alto,Água,Bloq. de Rodovia,"Acamp. na
BR-116",17/3/2010,,,Reassentamento,Resettlement,Environment,,
Santa Catarina,Ipuaçu,Questão Indígena,Bloq. da SC-480,T.I. Xapecó,21/9/2010,,,Saúde/ Políticas públicas,Health/Public Policies,Public Policies,,
São Paulo,Iaras,Terra,Bloq. da SP-81,"Assent.
Zumbi dos Palmares",18/1/2010,150,,Cumprimento de acordos,Compliance with agreements,Environment,,
São Paulo,Pederneiras,Terra,"Bloqueio da Estrada de
Acesso ao Assent. Aimorés",,12/8/2010,,,Regularização fundiária,Land regularization,Land Reform,,
São Paulo,São Paulo,Terra,"Bloqueio da Rodoanel
Sul",Km 47,16/6/2010,200,,Reforma Agrária,Land reform,Land Reform,,
Sergipe,Japaratuba,Terra,Bloq. da BR-101,"Faz. São
J o ã o",7/5/2010,100,,Cesta básica/ Água,Basic Basket/Water,Public Policies,,
Sergipe,Japaratuba,Terra,Bloq. da BR-101,"Faz. São
J o ã o",23/11/2010,100,,Assentamento de famílias,Settlement of families,Property,,
Acre,Cruzeiro do Sul,Política Agrícola,Bloq. de Estrada,"Com. do
Igarapé Canela Fina",3/10/2011,150,,Infraestrutura,Infrastructure,Infrastructure,,
Acre,Porto Acre,Terra,Bloq. da AC-10,"Ramal
Estrada Velha e Outros",16/3/2011,60,,Infraestrutura,Infrastructure,Infrastructure,,
Acre,Rio Branco,Política Agrícola,Bloq. da AC-10,"Pólo Geraldo
Fleming",13/7/2011,,,Infraestrutura,Infrastructure,Infrastructure,,
Acre,Rio Branco,Terra,"Bloq. da AC-40 e da
BR-317",Ramal Castanheira,25/3/2011,100,,Infraestrutura,Infrastructure,Infrastructure,,
Alagoas,Atalaia,Terra,Bloq. da BR-316,"Pov.
Ouricuri",20/6/2011,300,,Infraestrutura,Infrastructure,Infrastructure,,
Alagoas,Joaquim Gomes,Terra,Bloq. BR-101,"Jornada de
Luta por R. A.",14/4/2011,300,,Contra a injustiça e a violência/ Reforma Agrária,Against injustice and violence/Agrarian Reform,Injustice,,
Alagoas,Junqueiro,Terra,Bloq. BR-101,"Jornada de
Luta por R. A.",14/4/2011,200,,Reforma Agrária,Land reform,Land Reform,,
Alagoas,Murici,Terra,Bloqueio da BR- 104,"Assent.
Pacas",28/4/2011,120,,Infraestrutura/ Educação/ Saúde,Infrastructure/Education/Health,Public Policies,,
Alagoas,Murici,Terra,Bloq. BR-104,"Faz.
Cavaleiro",24/1/2011,375,,Contra a injustiça e a violência/ Reforma Agrária,Against injustice and violence/Agrarian Reform,Injustice,,
Alagoas,União dos Palmares,Questão Quilombola,Bloqueio da AL- 205,,9/9/2011,120,,Infraestrutura/ Educação/ Políticas públicas,Infrastructure/Education/Public Policies,Public Policies,,
Bahia,Barreiras,Terra,Bloq. da BR-242,"Faz. Santa
Rita",22/9/2011,,,Assentamento de famílias,Settlement of families,Property,,
Bahia,Eunápolis,Terra,Bloq. da BR-101,"Contra
Despejo em Áreas da
V e r a c e  l",14/10/2011,1000,,Contra monocultura/ Assentamento de famílias,Against monoculture/Settlement of families,Land Reform,,
Bahia,Eunápolis,Terra,"Jornada de Luta das
Mulheres",Bloq. da BR-101,1/3/2011,1500,,Contra monocultura/ Políticas públicas / Contra agrotóxicos,Against monoculture/Public policies/Against agrochemicals,Public Policies,,
Bahia,Feira de Santana,Terra,"Bloq. da Avenida
Sampaio","Quilombo Lucas da
Feira",3/6/2011,,,Assentamento de famílias,Settlement of families,Property,,
Bahia,Feira de Santana,Terra,Bloq. da BR-116,"Quilombo
Lucas da Feira",5/9/2011,,,Assentamento de famílias,Settlement of families,Property,,
Bahia,Jacobina,Questões ambientais,"Bloqueio da Entrada da
Mineradora Yamana Gold",,8/6/2011,400,,Defesa da água e do meio ambiente/ Contra mineradoras,Defense of water and environment/Contra mines,Environment,,
Bahia,Juazeiro,Terra,"Jornada de Luta das
Mulheres","Bloq. da Ponte
Presidente Dutra",1/3/2011,800,,Crédito/ Infraestrutura/ Reforma Agrária/ Água,Credit/Infrastructure/Agrarian Reform/Water,Public Policies,,
Bahia,Mascote,Terra,Bloqueio da BR-101,Km 630,21/4/2011,800,,Infraestrutura/ Reforma Agrária,Infrastructure/Agrarian Reform,Land Reform,,
Bahia,Paulo Afonso,Terra,Bloq. da BR-110,"Jornada
Nac. de Lutas",5/4/2011,400,,Contra a injustiça e a violência/ Reforma Agrária,Against injustice and violence/Agrarian Reform,Injustice,,
Bahia,Salvador,Água,"Bloq. da Rod. de Acesso ao
Porto de Aratu","Ilha de Maré e
Outras",6/10/2011,700,,Defesa da água e do meio ambiente,Defense of water and the environment,Environment,,
Bahia,Salvador,Terra,"Bloq. da Avenida
Paralela","Jornada Nac. de
Lutas",25/8/2011,1000,,Assentamento de famílias,Settlement of families,Property,,
Bahia,Salvador,Terra,Bloq. da BA-528,"Contra
Despejo",1/11/2011,,,Regularização fundiária,Land regularization,Land Reform,,
Bahia,Simões Filho,Terra,Bloq. da BA-093,"Contra
Despejo",1/11/2011,,,Regularização fundiária,Land regularization,Land Reform,,
Distrito Federal,Brasília,Terra,"Bloq. do Acesso ao Min. da
Fazenda","Jorn. Nac. de Lutas
pela Reforma Agrária",26/8/2011,4000,,Crédito/ Renegociação de dívidas/ Reforma Agrária,Credit/Debt Renegotiation/Agrarian Reform,Land Reform,,
Maranhão,Açailândia,Questões ambientais,Bloq. da BR-222,"Com. Piquiá
de Baixo",7/12/2011,3000,,Reassentamento,Resettlement,Property,,
Maranhão,Alto Alegre do Pindaré,Questão Indígena,"Bloq. da Estrada de Ferro
Carajás",Aldeia Maçaranduba,9/2/2011,,,Educação/ Saúde,Education/Health,Public Policies,,
Maranhão,São Luís,Terra,Bloqueio da BR-135,,3/10/2011,,,Infraestrutura,Infrastructure,Infrastructure,,
Mato Grosso,Barra do Garças,Questão Indígena,Bloq. da BR-070,"Xavante
W a r ã",15/12/2011,,,Infraestrutura,Infrastructure,Infrastructure,,
Mato Grosso,Cáceres,Terra,Bloq. da BR-070,"Faz. Nova
Mutum",17/10/2011,450,,Assentamento de famílias,Settlement of families,Property,,
Mato Grosso,Cuiabá,Terra,Bloq. da BR-364,"Faz.
Bigorna",10/8/2011,,,Desapropriação,Expropriation,Property,,
Mato Grosso,Guarantã do Norte,Questão Indígena,Bloqueio da BR-163,,13/9/2011,,,Infraestrutura/ Saúde,Infrastructure/Health,Public Policies,,
Mato Grosso,Itaúba,Questão Indígena,Bloq. da BR-163,"Aldeia
Terena Kopenuti",13/3/2011,,,Cumprimento de acordos,Compliance with agreements,Indigenous Issues,,
Mato Grosso,Itaúba,Questão Indígena,Bloq. da BR 163,"Aldeia
Terena Kopenuti",17/3/2011,200,,Cumprimento de acordos,Compliance with agreements,Indigenous Issues,,
Mato Grosso,Itaúba,Terra,Bloqueio da BR-163,,17/10/2011,500,,Crédito/ Renegociação de dívidas/ Assentamento de famílias,Credit/Debt Renegotiation/Family Settlement,Injustice,,
Mato Grosso,Mirassol do Oeste,Terra,Bloq. da BR-070,"Contra
Despejo Faz. Rancho Verde",3/8/2011,,,Contra a injustiça e a violência/ Assentamento de famílias,Against injustice and violence/Settlement of families,Injustice,,
Mato Grosso,Nova Xavantina,Questão Indígena,Bloq. da BR-158,"Xavante
Warã",15/12/2011,,,Infraestrutura,Infrastructure,Infrastructure,,
Mato Grosso,Sinop,Terra,Bloqueio da BR-163,,17/10/2011,400,,Crédito/ Renegociação de dívidas/ Assentamento de famílias,Credit/Debt Renegotiation/Family Settlement,Injustice,,
Mato Grosso,Várzea Grande,Terra,"Bloq. do Trevo do
Lagarto","Jornada Nac. de
Lutas",11/4/2011,,,Infraestrutura/ Assistência técnica/ Reforma Agrária/ Políticas públicas,Infrastructure/Technical Assistance/Agrarian Reform/Public Policies,Public Policies,,
Mato Grosso,Várzea Grande,Terra,"Bloq. do Trevo do
Lagarto","Jornada Nac. de
L u t a s",12/4/2011,300,,Infraestrutura/ Assistência técnica/ Reforma Agrária/ Políticas públicas,Infrastructure/Technical Assistance/Agrarian Reform/Public Policies,Public Policies,,
Mato Grosso do Sul,Caarapó,Questão Indígena,Bloq. da MS-280,"Aldeia
Te'yikue",3/11/2011,180,,Infraestrutura/ Água,Infrastructure/Water,Public Policies,,
Mato Grosso do Sul,Campo Grande,Terra,Bloqueio da MS-060,,21/3/2011,100,,Infraestrutura/ Reforma Agrária,Infrastructure/Agrarian Reform,Public Policies,,
Mato Grosso do Sul,Dourados,Terra,Bloqueio da BR-463,,21/3/2011,30,,Infraestrutura/ Reforma Agrária,Infrastructure/Agrarian Reform,Public Policies,,
Mato Grosso do Sul,Itaquiraí,Terra,Bloqueio da BR-163,,24/8/2011,,,Assentamento de famílias,Settlement of families,Property,,
Mato Grosso do Sul,Jaraguari,Questão Indígena,Bloq. de BR 163,Faz. 3R,18/5/2011,300,,Demarcação de área indígena,Demarcation of indigenous area,Indigenous Issues,,
Mato Grosso do Sul,Naviraí,Terra,Bloqueio da MS-487,,21/3/2011,,,Infraestrutura/ Reforma Agrária,Infrastructure/Agrarian Reform,Infrastructure,,
Mato Grosso do Sul,Naviraí,Terra,Bloqueio da BR-163,Km-104,30/3/2011,800,,Reforma Agrária/ Assentamento de famílias,Land Reform/Settlement of Families,Property,,
Mato Grosso do Sul,Nova Alvorada do Sul,Terra,Bloqueio da BR-267,,21/3/2011,60,,Infraestrutura/ Reforma Agrária,Infrastructure/Agrarian Reform,Infrastructure,,
Mato Grosso do Sul,Nova Andradina,Terra,Bloqueio da MS-276,,21/3/2011,,,Infraestrutura/ Reforma Agrária,Infrastructure/Agrarian Reform,Infrastructure,,
Mato Grosso do Sul,Ponta Porã,Terra,Bloqueio da BR-463,,2/3/2011,250,,Cesta básica,Basic basket,Welfare,,
Minas Gerais,Cônego Marinho,Água,Bloq. de Rodovia,"Povo
Xakriabá",10/2/2011,,,Questão Indígena,Indigenous Issues,Indigenous Issues,,
Minas Gerais,Prata,Terra,Bloqueio da BR-153,,18/7/2011,500,,Desapropriação/ Educação/ Saúde,Expropriation/Education/Health,Public Policies,,
Minas Gerais,Uberlândia,Política Agrícola,Bloq. da BR-050,"Jornada de
Luta das Mulheres",3/3/2011,400,,Incentivos à pequena produção/ Contra agrotóxicos,Incentives for small production/Against Pesticides,Public Policies,,
Pará,Altamira,Terra,"Bloq. da
Transamazônica","Acamp.
Xingu 2011",30/8/2011,3000,,Infraestrutura/ Reforma Agrária/ Políticas p ú b  l ic a s,Infrastructure/Land Reform/Public Policies,Public Policies,,
Pará,Anapu,Questões ambientais,"Bloq. nas Vicinais 1,2,3","PDS
Esperança",9/1/2011,65,,Regularização fundiária/ Contra Desmatamento,Land regularization/Against Deforestation,Deforestation,Intimidação,Bullying
Pará,Benevides,Terra,Bloqueio da BR-316,,18/2/2011,,,Infraestrutura/ Incentivos à pequena produção/ Políticas públicas,Infrastructure/Incentives for small production/Public policies,Public Policies,,
Pará,Canaã dos Carajás,Terra,Bloq. PA-160,"Acamp. Dina
Teixeira",19/9/2011,200,,Cesta básica,Basic basket,Welfare,,
Pará,Conceição do Araguaia,Terra,"Bloq. da Estrada de Acesso à
Faz. Cruzeiro Novo",,4/11/2011,40,,Contra a injustiça e a violência,Against injustice and violence,Injustice,,
Pará,Conceição do Araguaia,Terra,Bloq. BR-155,"Acamp. Luís
Lopes",25/10/2011,200,,Cumprimento de acordos/ Reforma Agrária,Compliance/Agrarian Reform,Land Reform,,
Pará,Curionópolis,Terra,Bloq. PA-275,"Acamp. Frei
Henri",23/8/2011,100,,Infraestrutura/ Cesta básica/ Educação,Infrastructure/Shopping Basket/Education,Public Policies,,
Pará,Curionópolis,Terra,Bloq. PA-275,"Contra
Despejos",25/8/2011,50,,Contra a injustiça e a violência/ Reforma Agrária,Against injustice and violence/Agrarian Reform,Injustice,,
Pará,Curionópolis,Terra,Bloq. PA-275,"Acamp. Frei
Henri",19/9/2011,200,,Infraestrutura/ Cesta básica/ Educação,Infrastructure/Shopping Basket/Education,Public Policies,,
Pará,Eldorado dos Carajás,Terra,Bloq. BR-155,"Acamp.
Dalcídio Jurandir",19/9/2011,200,,Cesta básica,Basic basket,Welfare,,
Pará,Eldorado dos Carajás,Terra,Bloq. BR-155,"Contra Despejo
na Faz. Nova Era",24/8/2011,50,,Contra a injustiça e a violência/ Reforma Agrária,Against injustice and violence/Agrarian Reform,Injustice,,
Pará,Itaituba,Terra,"Bloq. da
Transamazônica","Com.
Miritituba e outras",29/3/2011,,,Contra Desmatamento/ Políticas públicas,Against Deforestation/Public Policies,Deforestation,,
Pará,Marabá,Terra,Bloq. BR-155,"P. A. 26 de
Março",5/5/2011,150,,Infraestrutura/ Cumprimento de acordos,Infrastructure/Compliance,Infrastructure,,
Pará,Marabá,Terra,Bloq. BR-155,"Acamp.
Helenira Resende",19/9/2011,200,,Cesta básica,Basic basket,Welfare,,
Pará,Marabá,Terra,Bloq. BR-155,Vila Sororó,3/5/2011,150,,Infraestrutura/ Incentivos à pequena produção,Infrastructure/Incentives for small production,Infrastructure,,
Pará,Marabá,Terra,"Bloq. da
Transamazônica","Protesto por
R. A. 09",9/6/2011,,,Crédito/ Cumprimento de acordos/ Incentivos à pequena produção/ Indenização/ Reforma Agrária/ Políti,Credit/Compliance with agreements/Incentives for small production/Indemnification/Agrarian Reform/Políti,Public Policies,,
Pará,Marabá,Terra,"Bloq. da
Transamazônica","Protesto por
R. A. 09",15/6/2011,5000,,Crédito/ Infraestrutura/ Cumprimento de acordos/ Incentivos à pequena produção/ Contra a injustiça e,Credit/Infrastructure/Compliance with agreements/Incentives to small production/Against injustice and,Infrastructure,,
Pará,Novo Progresso,Questão Indígena,Bloq. da BR-163,T.I. Kayapó,19/9/2011,,,Infraestrutura/ Educação/ Saúde/ Políticas públicas,Infrastructure/Education/Health/Public Policies,Public Policies,,
Pará,Ourilândia,Terra,Bloq. da Estrada,"Proj. Onça
Puma",5/10/2011,200,,Cumprimento de acordos/ Reassentamento/ Indenização,Compliance/Settlement/Indemnity,Wages,,
Pará,Rio Maria,Terra,"Bloq. da Vicinal
Babaçu","Mineradoras
Reinarda e Floresta Araguaia",22/9/2011,70,,Infraestrutura/ Saúde,Infrastructure/Health,Public Policies,,
Pará,Sapucaia,Direitos Humanos,Bloq. BR-155,"Contra
Despejos",23/8/2011,300,,Contra a injustiça e a violência,Against injustice and violence,Injustice,,
Pará,Ulianópolis,Terra,Bloq. BR-010,Faz. Palestina,28/4/2011,80,,Reforma Agrária,Land reform,Land Reform,,
Pará,Xinguara,Terra,Bloq. BR-155,"Acamp. João
Canuto",19/9/2011,200,,Cesta básica,Basic basket,Welfare,,
Paraíba,Aparecida,Terra,Bloq. BR-230,"Acamp.
Pivas",13/6/2011,600,,Cumprimento de acordos/ Reforma Agrária,Compliance/Agrarian Reform,Land Reform,,
Paraíba,Campina Grande,Terra,Bloqueio da PB-138,,18/10/2011,,,Infraestrutura/ Água,Infrastructure/Water,Infrastructure,,
Pernambuco,Brejo da Madre de Deus,Terra,Bloq. BR-104,"Jornada por
Reforma Agrária",18/4/2011,,,Reforma Agrária,Land reform,Land Reform,,
Pernambuco,Catende,Trabalhista,Bloq. BR-101,Us. Catende,23/2/2011,,,S a  lá r  io,Salary,Wages,,
Pernambuco,Escada,Terra,Bloq. BR-101,"Contra
Transnordestina",12/9/2011,150,,Contra a injustiça e a violência/ Reassentamento/ Indenização,Against injustice and violence/Resettlement/Indemnity,Injustice,,
Piauí,Teresina,Questões ambientais,Bloq. da BR-316,"Em defesa
da Terra, das Águas e dos
Povos",21/11/2011,500,,Defesa da água e do meio ambiente,Defense of water and the environment,Environment,,
Rio de Janeiro,Campos dos Goytacazes,Terra,Bloqueio da BR - 101,,25/11/2011,200,,Reforma Agrária,Land reform,Land Reform,,
Rio de Janeiro,São João da Barra,Terra,"Bloqueio dos Acessos às
Obras do Porto de Açu",,25/4/2011,,,Contra a injustiça e a violência,Against injustice and violence,Injustice,,
Rio de Janeiro,São João da Barra,Terra,"Bloq. da Estrada Saco
Dantas",Porto de Açu,6/12/2011,,,Contra mineradoras,Against miners,Environment,,
Rio Grande do Sul,Alegrete,Terra,Bloq. do trevo,"Jornada de
Luta por R.A.",23/8/2011,250,,Crédito/ Renegociação de dívidas/ Reforma Agrária,Credit/Debt Renegotiation/Agrarian Reform,Land Reform,,
Rio Grande do Sul,Alegrete,Terra,Bloq. na ERS-377,"Jornada de
Luta por R.A.",23/8/2011,200,,Crédito/ Renegociação de dívidas/ Reforma Agrária,Credit/Debt Renegotiation/Agrarian Reform,Land Reform,,
Rio Grande do Sul,Boa Vista das Missões,Política Agrícola,Bloq. BR-386,"Protesto na
frente do BB",27/4/2011,1000,,Renegociação de dívidas/ Pagamento por serviços ambientais,Debt Renegotiation/Payment for environmental services,Environment,,
Rio Grande do Sul,Cacique Doble,Questão Indígena,Bloq. ERS-343,"T.
I.Votouro",8/8/2011,,,Saúde/ Direitos humanos,Health/Human rights,Human Rights,,
Rio Grande do Sul,Canoas,Política Agrícola,Bloq. BR-116,"Jornada de
Luta Camponesa",16/5/2011,600,,Renegociação de dívidas,Renegotiation of debts,Debt,,
Rio Grande do Sul,Erebango,Questão Indígena,Bloq. ERS-135,"T. I. Ventarra
Alta",8/8/2011,,,Saúde/ Direitos humanos,Health/Human rights,Human Rights,,
Rio Grande do Sul,Erechim,Questão Indígena,Bloq. RST-480,"T. I.
Ligeiro",8/8/2011,300,,Saúde/ Direitos humanos,Health/Human rights,Human Rights,,
Rio Grande do Sul,Erechim,Política Agrícola,Bloq. BR-153,"Manif. na frente
do BB e CEF",18/5/2011,,,Renegociação de dívidas,Renegotiation of debts,Debt,,
Rio Grande do Sul,Iraí,Questão Indígena,Bloq. da BR-386,"T. I.
Kaingang",8/8/2011,100,,Saúde/ Direitos humanos,Health/Human rights,Human Rights,,
Rio Grande do Sul,Manoel Viana,Terra,Bloq. de Rodovia,"Jornada de
Luta por R.A.",23/8/2011,300,,Crédito/ Renegociação de dívidas/ Reforma Agrária,Credit/Debt Renegotiation/Agrarian Reform,Land Reform,,
Rio Grande do Sul,Mato Castelhano,Questão Indígena,Bloq. BR-285,T. I. Kaingang,8/8/2011,,,Saúde/ Direitos humanos,Health/Human rights,Human Rights,,
Rio Grande do Sul,Pedro Osório,Terra,Bloq. de Rodovia,"Jornada de
Luta por R.A.",23/8/2011,,,Crédito/ Renegociação de dívidas/ Reforma Agrária,Credit/Debt Renegotiation/Agrarian Reform,Land Reform,,
Rio Grande do Sul,Ronda Alta,Questão Indígena,Bloq. ERS-324,"T. I.
Serrinha",5/8/2011,,,Saúde/ Direitos humanos,Health/Human rights,Health,,
Rio Grande do Sul,São Francisco de Assis,Terra,Bloq. de Rodovia,"Jornada de
Luta por R.A.",23/8/2011,,,Crédito/ Renegociação de dívidas/ Reforma Agrária,Credit/Debt Renegotiation/Agrarian Reform,Land Reform,,
Rio Grande do Sul,Seberi,Política Agrícola,Bloq. da BR-386,"Protesto na
frente do BB",27/4/2011,200,,Renegociação de dívidas/ Pagamento por serviços ambientais,Debt Renegotiation/Payment for environmental services,Environment,,
Rondônia,Alvorada do Oeste,Terra,Bloqueio da BR-429,,23/8/2011,400,,Crédito/ Assentamento de famílias,Credit/Family Settlement,Welfare,,
Rondônia,Candeias do Jamari,Água,Bloq. da BR-364,"UHE de
Samuel",28/3/2011,300,,Reassentamento,Resettlement,Environment,,
Rondônia,Itapuã do Oeste,Água,Bloq. da BR-364,"UHE
Samuel",22/8/2011,600,,Infraestrutura/ Reassentamento,Infrastructure/Resettlement,Environment,,
Santa Catarina,Biguaçu,Questão Indígena,Bloq. da BR-101,"Guarani
M'Biguaçu",13/9/2011,,,Saúde,Health,Health,,
Santa Catarina,Concórdia,Terra,Bloqueio da BR-153,,26/8/2011,,,Renegociação de dívidas,Renegotiation of debts,Debt,,
Santa Catarina,Concórdia,Terra,Bloqueio da  BR-153,,27/8/2011,1000,,Renegociação de dívidas,Renegotiation of debts,Debt,,
Santa Catarina,Florianópolis,Questão Indígena,Ocup. Funasa,"Bloq.
BR-101",13/9/2011,300,,Saúde,Health,Health,,
Santa Catarina,Cubatão,Política Agrícola,"Bloq. da Rod. Cônego
Domênico Rangoni","Jornada
de Luta das Mulheres",3/3/2011,600,,Contra monocultura/ Políticas públicas,Against monoculture/Public policies,Public Policies,,
Santa Catarina,São Paulo,Terra,"Bloqueio da Rodovia
Anhanguera",,15/4/2011,80,,Contra a injustiça e a violência/ Reforma Agrária,Against injustice and violence/Agrarian Reform,Injustice,,
Sergipe,Japaratuba,Terra,Bloq. da BR-101,"Faz. São
João",15/4/2011,100,,Assentamento de famílias,Settlement of families,Property,,
Sergipe,Japaratuba,Terra,Bloq. da BR-101,"Faz. São
João",12/5/2011,1250,,Cesta básica/ Assentamento de famílias,Basic basket/Settlement of families,Welfare,,
Sergipe,Japaratuba,Terra,Bloq. da BR-101,"Acamp.
Arthur Bispo do Rosário",23/8/2011,150,,Reforma Agrária/ Assentamento de famílias,Land Reform/Settlement of Families,Welfare,,
Tocantins,Palmeirante,Terra,Bloqueio da TO-335,,1/8/2011,100,,Desapropriação/ Contra Desmatamento/ Contra a injustiça e a violência/ Assentamento de famílias,Expropriation/Against Deforestation/Against injustice and violence/Settlement of families,Public Policies,,
Acre,Bujari,Terra,"Bloqueio do Acesso ao
Ramal Juá",,10/07/2012,50,,Infraestrutura,Infrastructure,Infrastructure,,
Acre,Rio Branco,Terra,"Bloq. de Estrada - Km
30",Ramal Mutum,12/07/2012,20,,Infraestrutura,Infrastructure,Infrastructure,,
Alagoas,Arapiraca,Terra,Bloq. AL-115,"Contra Ordem
de Despejos",06/08/2012,150,,Contra a injustiça e a violência/ Reforma Agrária,Against injustice and violence/Agrarian Reform,Injustice,,
Alagoas,Arapiraca,Terra,Bloq. da AL-220,"Jornada por
R. A.",17/04/2012,190,,Crédito/ Infraestrutura/ Reforma Agrária,Credit/Infrastructure/Land Reform,Public Policies,,
Alagoas,Atalaia,Terra,Bloq. BR-316,"Contra Ordem
de Despejos",06/08/2012,150,,Contra a injustiça e a violência/ Reforma Agrária,Against injustice and violence/Agrarian Reform,Injustice,,
Alagoas,Atalaia,Terra,Bloq. da BR-316,"Jornada por
R. A.",17/04/2012,200,,Crédito/ Infraestrutura/ Reforma Agrária,Credit/Infrastructure/Land Reform,Land Reform,,
Alagoas,Branquinha,Terra,Bloq. da  BR-101,"Jornada
Nac. de Luta das Mulheres",08/03/2012,,,Infraestrutura/ Educação/ Saúde,Infrastructure/Education/Health,Public Policies,,
Alagoas,Capela,Terra,Bloq. de Rodovia,"Faz.
Pitombeira",10/01/2012,350,,Reforma Agrária,Land reform,Land Reform,,
Alagoas,Delmiro Gouveia,Terra,Bloq. da BR-423,"Jornada por
R. A.",17/04/2012,220,,Crédito/ Infraestrutura/ Reforma Agrária,Credit/Infrastructure/Land Reform,Public Policies,,
Alagoas,Flexeiras,Terra,Bloq. BR-101,"Contra Ordem
de Despejos",06/08/2012,100,,Contra a injustiça e a violência/ Reforma Agrária,Against injustice and violence/Agrarian Reform,Injustice,,
