Estado,Municípios,Característica,Nome da Manifestação,Nome da Manifestação 2,Data,No de Participantes,Tipo de Trabalho,Tipo de Reivindicação,Type of Claim,,Tipo de Violência,Type of Violence
Mato Grosso,Itaúba,Questão Indígena,Bloq. da BR 163,"AldeiaTerena Kopenuti",17/3/2011,200,,Cumprimento de acordos,Compliance with agreements,,,
Mato Grosso,Itaúba,Terra,Bloqueio da BR-163,,17/10/2011,500,,Crédito/ Renegociação de dívidas/ Assentamento de famílias,Credit/Debt Renegotiation/Family Settlement,,,
Mato Grosso,Mirassol do Oeste,Terra,Bloq. da BR-070,"ContraDespejo Faz. Rancho Verde",3/8/2011,,,Contra a injustiça e a violência/ Assentamento de famílias,Against injustice and violence/Settlement of families,,,
Mato Grosso,Nova Xavantina,Questão Indígena,Bloq. da BR-158,"XavanteWarã",15/12/2011,,,Infraestrutura,Infrastructure,,,
Mato Grosso,Sinop,Terra,Bloqueio da BR-163,,17/10/2011,400,,Crédito/ Renegociação de dívidas/ Assentamento de famílias,Credit/Debt Renegotiation/Family Settlement,,,
Mato Grosso,Várzea Grande,Terra,"Bloq. do Trevo doLagarto","Jornada Nac. deLutas",11/4/2011,,,Infraestrutura/ Assistência técnica/ Reforma Agrária/ Políticas públicas,Infrastructure/Technical Assistance/Agrarian Reform/Public Policies,,,
Mato Grosso,Várzea Grande,Terra,"Bloq. do Trevo doLagarto","Jornada Nac. deL u t a s",12/4/2011,300,,Infraestrutura/ Assistência técnica/ Reforma Agrária/ Políticas públicas,Infrastructure/Technical Assistance/Agrarian Reform/Public Policies,,,
Mato Grosso do Sul,Caarapó,Questão Indígena,Bloq. da MS-280,"AldeiaTe'yikue",3/11/2011,180,,Infraestrutura/ Água,Infrastructure/Water,,,
Mato Grosso do Sul,Campo Grande,Terra,Bloqueio da MS-060,,21/3/2011,100,,Infraestrutura/ Reforma Agrária,Infrastructure/Agrarian Reform,,,
Mato Grosso do Sul,Dourados,Terra,Bloqueio da BR-463,,21/3/2011,30,,Infraestrutura/ Reforma Agrária,Infrastructure/Agrarian Reform,,,
Mato Grosso do Sul,Itaquiraí,Terra,Bloqueio da BR-163,,24/8/2011,,,Assentamento de famílias,Settlement of families,,,
Mato Grosso do Sul,Jaraguari,Questão Indígena,Bloq. de BR 163,Faz. 3R,18/5/2011,300,,Demarcação de área indígena,Demarcation of indigenous area,,,
Mato Grosso do Sul,Naviraí,Terra,Bloqueio da MS-487,,21/3/2011,,,Infraestrutura/ Reforma Agrária,Infrastructure/Agrarian Reform,,,
Mato Grosso do Sul,Naviraí,Terra,Bloqueio da BR-163,Km-104,30/3/2011,800,,Reforma Agrária/ Assentamento de famílias,Land Reform/Settlement of Families,,,
Mato Grosso do Sul,Nova Alvorada do Sul,Terra,Bloqueio da BR-267,,21/3/2011,60,,Infraestrutura/ Reforma Agrária,Infrastructure/Agrarian Reform,,,
Mato Grosso do Sul,Nova Andradina,Terra,Bloqueio da MS-276,,21/3/2011,,,Infraestrutura/ Reforma Agrária,Infrastructure/Agrarian Reform,,,
Mato Grosso do Sul,Ponta Porã,Terra,Bloqueio da BR-463,,2/3/2011,250,,Cesta básica,Basic basket,,,
Minas Gerais,Cônego Marinho,Água,Bloq. de Rodovia,"PovoXakriabá",10/2/2011,,,Questão Indígena,Indigenous Issues,,,
Minas Gerais,Prata,Terra,Bloqueio da BR-153,,18/7/2011,500,,Desapropriação/ Educação/ Saúde,Expropriation/Education/Health,,,
Minas Gerais,Uberlândia,Política Agrícola,Bloq. da BR-050,"Jornada deLuta das Mulheres",3/3/2011,400,,Incentivos à pequena produção/ Contra agrotóxicos,Incentives for small production/Contra agrotóxicos,,,
Pará,Altamira,Terra,"Bloq. daTransamazônica","Acamp.Xingu 2011",30/8/2011,3000,,Infraestrutura/ Reforma Agrária/ Políticas p ú b  l ic a s,Infrastructure/Land Reform/Public Policies,,,
Pará,Anapu,Questões ambientais,"Bloq. nas Vicinais 1,2,3","PDSEsperança",9/1/2011,65,,Regularização fundiária/ Contra Desmatamento,Land regularization/Against Deforestation,,Intimidação,Bullying
Pará,Benevides,Terra,Bloqueio da BR-316,,18/2/2011,,,Infraestrutura/ Incentivos à pequena produção/ Políticas públicas,Infrastructure/Incentives for small production/Public policies,,,
Pará,Canaã dos Carajás,Terra,Bloq. PA-160,"Acamp. DinaTeixeira",19/9/2011,200,,Cesta básica,Basic basket,,,
Pará,Conceição do Araguaia,Terra,"Bloq. da Estrada de Acesso àFaz. Cruzeiro Novo",,4/11/2011,40,,Contra a injustiça e a violência,Against injustice and violence,,,
Pará,Conceição do Araguaia,Terra,Bloq. BR-155,"Acamp. LuísLopes",25/10/2011,200,,Cumprimento de acordos/ Reforma Agrária,Compliance/Agrarian Reform,,,
Pará,Curionópolis,Terra,Bloq. PA-275,"Acamp. FreiHenri",23/8/2011,100,,Infraestrutura/ Cesta básica/ Educação,Infrastructure/Shopping Basket/Education,,,
Pará,Curionópolis,Terra,Bloq. PA-275,"ContraDespejos",25/8/2011,50,,Contra a injustiça e a violência/ Reforma Agrária,Against injustice and violence/Agrarian Reform,,,
Pará,Curionópolis,Terra,Bloq. PA-275,"Acamp. FreiHenri",19/9/2011,200,,Infraestrutura/ Cesta básica/ Educação,Infrastructure/Shopping Basket/Education,,,
Pará,Eldorado dos Carajás,Terra,Bloq. BR-155,"Acamp.Dalcídio Jurandir",19/9/2011,200,,Cesta básica,Basic basket,,,
Pará,Eldorado dos Carajás,Terra,Bloq. BR-155,"Contra Despejona Faz. Nova Era",24/8/2011,50,,Contra a injustiça e a violência/ Reforma Agrária,Against injustice and violence/Agrarian Reform,,,
Pará,Itaituba,Terra,"Bloq. daTransamazônica","Com.Miritituba e outras",29/3/2011,,,Contra Desmatamento/ Políticas públicas,Against Deforestation/Public Policies,,,
Pará,Marabá,Terra,Bloq. BR-155,"P. A. 26 deMarço",5/5/2011,150,,Infraestrutura/ Cumprimento de acordos,Infrastructure/Compliance,,,
Pará,Marabá,Terra,Bloq. BR-155,"Acamp.Helenira Resende",19/9/2011,200,,Cesta básica,Basic basket,,,
Pará,Marabá,Terra,Bloq. BR-155,Vila Sororó,3/5/2011,150,,Infraestrutura/ Incentivos à pequena produção,Infrastructure/Incentives for small production,,,
Pará,Marabá,Terra,"Bloq. daTransamazônica","Protesto porR. A. 09",9/6/2011,,,Crédito/ Cumprimento de acordos/ Incentivos à pequena produção/ Indenização/ Reforma Agrária/ Políti,Credit/Compliance with agreements/Incentives for small production/Indemnification/Agrarian Reform/Políti,,,
Pará,Marabá,Terra,"Bloq. daTransamazônica","Protesto porR. A. 09",15/6/2011,5000,,Crédito/ Infraestrutura/ Cumprimento de acordos/ Incentivos à pequena produção/ Contra a injustiça e,Credit/Infrastructure/Compliance with agreements/Incentives to small production/Against injustice and,,,
Pará,Novo Progresso,Questão Indígena,Bloq. da BR-163,T.I. Kayapó,19/9/2011,,,Infraestrutura/ Educação/ Saúde/ Políticas públicas,Infrastructure/Education/Health/Public Policies,,,
Pará,Ourilândia,Terra,Bloq. da Estrada,"Proj. OnçaPuma",5/10/2011,200,,Cumprimento de acordos/ Reassentamento/ Indenização,Compliance/Settlement/Indemnity,,,
Pará,Rio Maria,Terra,"Bloq. da VicinalBabaçu","MineradorasReinarda e Floresta Araguaia",22/9/2011,70,,Infraestrutura/ Saúde,Infrastructure/Health,,,
Pará,Sapucaia,Direitos Humanos,Bloq. BR-155,"ContraDespejos",23/8/2011,300,,Contra a injustiça e a violência,Against injustice and violence,,,
Pará,Ulianópolis,Terra,Bloq. BR-010,Faz. Palestina,28/4/2011,80,,Reforma Agrária,Land reform,,,
Pará,Xinguara,Terra,Bloq. BR-155,"Acamp. JoãoCanuto",19/9/2011,200,,Cesta básica,Basic basket,,,
Paraíba,Aparecida,Terra,Bloq. BR-230,"Acamp.Pivas",13/6/2011,600,,Cumprimento de acordos/ Reforma Agrária,Compliance/Agrarian Reform,,,
Paraíba,Campina Grande,Terra,Bloqueio da PB-138,,18/10/2011,,,Infraestrutura/ Água,Infrastructure/Water,,,
Pernambuco,Brejo da Madre de Deus,Terra,Bloq. BR-104,"Jornada porReforma Agrária",18/4/2011,,,Reforma Agrária,Land reform,,,
Pernambuco,Catende,Trabalhista,Bloq. BR-101,Us. Catende,23/2/2011,,,S a  lá r  io,Salary,,,
Pernambuco,Escada,Terra,Bloq. BR-101,"ContraTransnordestina",12/9/2011,150,,Contra a injustiça e a violência/ Reassentamento/ Indenização,Against injustice and violence/Resettlement/Indemnity,,,
Piauí,Teresina,Questões ambientais,Bloq. da BR-316,"Em defesada Terra, das Águas e dosPovos",21/11/2011,500,,Defesa da água e do meio ambiente,Defense of water and the environment,,,
Rio de Janeiro,Campos dos Goytacazes,Terra,Bloqueio da BR - 101,,25/11/2011,200,,Reforma Agrária,Land reform,,,
Rio de Janeiro,São João da Barra,Terra,"Bloqueio dos Acessos àsObras do Porto de Açu",,25/4/2011,,,Contra a injustiça e a violência,Against injustice and violence,,,
Rio de Janeiro,São João da Barra,Terra,"Bloq. da Estrada SacoDantas",Porto de Açu,6/12/2011,,,Contra mineradoras,Against miners,,,
Rio Grande do Sul,Alegrete,Terra,Bloq. do trevo,"Jornada deLuta por R.A.",23/8/2011,250,,Crédito/ Renegociação de dívidas/ Reforma Agrária,Credit/Debt Renegotiation/Agrarian Reform,,,
Rio Grande do Sul,Alegrete,Terra,Bloq. na ERS-377,"Jornada deLuta por R.A.",23/8/2011,200,,Crédito/ Renegociação de dívidas/ Reforma Agrária,Credit/Debt Renegotiation/Agrarian Reform,,,
Rio Grande do Sul,Boa Vista das Missões,Política Agrícola,Bloq. BR-386,"Protesto nafrente do BB",27/4/2011,1000,,Renegociação de dívidas/ Pagamento por serviços ambientais,Debt Renegotiation/Payment for environmental services,,,
Rio Grande do Sul,Cacique Doble,Questão Indígena,Bloq. ERS-343,"T.I.Votouro",8/8/2011,,,Saúde/ Direitos humanos,Health/Human rights,,,
Rio Grande do Sul,Canoas,Política Agrícola,Bloq. BR-116,"Jornada deLuta Camponesa",16/5/2011,600,,Renegociação de dívidas,Renegotiation of debts,,,
Rio Grande do Sul,Erebango,Questão Indígena,Bloq. ERS-135,"T. I. VentarraAlta",8/8/2011,,,Saúde/ Direitos humanos,Health/Human rights,,,
Rio Grande do Sul,Erechim,Questão Indígena,Bloq. RST-480,"T. I.Ligeiro",8/8/2011,300,,Saúde/ Direitos humanos,Health/Human rights,,,
Rio Grande do Sul,Erechim,Política Agrícola,Bloq. BR-153,"Manif. na frentedo BB e CEF",18/5/2011,,,Renegociação de dívidas,Renegotiation of debts,,,
Rio Grande do Sul,Iraí,Questão Indígena,Bloq. da BR-386,"T. I.Kaingang",8/8/2011,100,,Saúde/ Direitos humanos,Health/Human rights,,,
Rio Grande do Sul,Manoel Viana,Terra,Bloq. de Rodovia,"Jornada deLuta por R.A.",23/8/2011,300,,Crédito/ Renegociação de dívidas/ Reforma Agrária,Credit/Debt Renegotiation/Agrarian Reform,,,
Rio Grande do Sul,Mato Castelhano,Questão Indígena,Bloq. BR-285,T. I. Kaingang,8/8/2011,,,Saúde/ Direitos humanos,Health/Human rights,,,
Rio Grande do Sul,Pedro Osório,Terra,Bloq. de Rodovia,"Jornada deLuta por R.A.",23/8/2011,,,Crédito/ Renegociação de dívidas/ Reforma Agrária,Credit/Debt Renegotiation/Agrarian Reform,,,
Rio Grande do Sul,Ronda Alta,Questão Indígena,Bloq. ERS-324,"T. I.Serrinha",5/8/2011,,,Saúde/ Direitos humanos,Health/Human rights,,,
Rio Grande do Sul,São Francisco de Assis,Terra,Bloq. de Rodovia,"Jornada deLuta por R.A.",23/8/2011,,,Crédito/ Renegociação de dívidas/ Reforma Agrária,Credit/Debt Renegotiation/Agrarian Reform,,,
Rio Grande do Sul,Seberi,Política Agrícola,Bloq. da BR-386,"Protesto nafrente do BB",27/4/2011,200,,Renegociação de dívidas/ Pagamento por serviços ambientais,Debt Renegotiation/Payment for environmental services,,,
Rondônia,Alvorada do Oeste,Terra,Bloqueio da BR-429,,23/8/2011,400,,Crédito/ Assentamento de famílias,Credit/Family Settlement,,,
Rondônia,Candeias do Jamari,Água,Bloq. da BR-364,"UHE deSamuel",28/3/2011,300,,Reassentamento,Resettlement,,,
Rondônia,Itapuã do Oeste,Água,Bloq. da BR-364,"UHESamuel",22/8/2011,600,,Infraestrutura/ Reassentamento,Infrastructure/Resettlement,,,
Santa Catarina,Biguaçu,Questão Indígena,Bloq. da BR-101,"GuaraniM'Biguaçu",13/9/2011,,,Saúde,Cheers,,,
Santa Catarina,Concórdia,Terra,Bloqueio da BR-153,,26/8/2011,,,Renegociação de dívidas,Renegotiation of debts,,,
Santa Catarina,Concórdia,Terra,Bloqueio da  BR-153,,27/8/2011,1000,,Renegociação de dívidas,Renegotiation of debts,,,
Santa Catarina,Florianópolis,Questão Indígena,Ocup. Funasa,"Bloq.BR-101",13/9/2011,300,,Saúde,Cheers,,,
Santa Catarina,Cubatão,Política Agrícola,"Bloq. da Rod. CônegoDomênico Rangoni","Jornadade Luta das Mulheres",3/3/2011,600,,Contra monocultura/ Políticas públicas,Against monoculture/Public policies,,,
Santa Catarina,São Paulo,Terra,"Bloqueio da RodoviaAnhanguera",,15/4/2011,80,,Contra a injustiça e a violência/ Reforma Agrária,Against injustice and violence/Agrarian Reform,,,
Sergipe,Japaratuba,Terra,Bloq. da BR-101,"Faz. SãoJoão",15/4/2011,100,,Assentamento de famílias,Settlement of families,,,
Sergipe,Japaratuba,Terra,Bloq. da BR-101,"Faz. SãoJoão",12/5/2011,1250,,Cesta básica/ Assentamento de famílias,Basic basket/Settlement of families,,,
Sergipe,Japaratuba,Terra,Bloq. da BR-101,"Acamp.Arthur Bispo do Rosário",23/8/2011,150,,Reforma Agrária/ Assentamento de famílias,Land Reform/Settlement of Families,,,
Tocantins,Palmeirante,Terra,Bloqueio da TO-335,,1/8/2011,100,,Desapropriação/ Contra Desmatamento/ Contra a injustiça e a violência/ Assentamento de famílias,Expropriation/Against Deforestation/Against injustice and violence/Settlement of families,,,
Acre,Bujari,Terra,"Bloqueio do Acesso aoRamal Juá",,10/07/2012,50,,Infraestrutura,Infrastructure,,,
Acre,Rio Branco,Terra,"Bloq. de Estrada - Km30",Ramal Mutum,12/07/2012,20,,Infraestrutura,Infrastructure,,,
Alagoas,Arapiraca,Terra,Bloq. AL-115,"Contra Ordemde Despejos",06/08/2012,150,,Contra a injustiça e a violência/ Reforma Agrária,Against injustice and violence/Agrarian Reform,,,
Alagoas,Arapiraca,Terra,Bloq. da AL-220,"Jornada porR. A.",17/04/2012,190,,Crédito/ Infraestrutura/ Reforma Agrária,Credit/Infrastructure/Land Reform,,,
Alagoas,Atalaia,Terra,Bloq. BR-316,"Contra Ordemde Despejos",06/08/2012,150,,Contra a injustiça e a violência/ Reforma Agrária,Against injustice and violence/Agrarian Reform,,,
Alagoas,Atalaia,Terra,Bloq. da BR-316,"Jornada porR. A.",17/04/2012,200,,Crédito/ Infraestrutura/ Reforma Agrária,Credit/Infrastructure/Land Reform,,,
Alagoas,Branquinha,Terra,Bloq. da  BR-101,"JornadaNac. de Luta das Mulheres",08/03/2012,,,Infraestrutura/ Educação/ Saúde,Infrastructure/Education/Health,,,
Alagoas,Capela,Terra,Bloq. de Rodovia,"Faz.Pitombeira",10/01/2012,350,,Reforma Agrária,Land reform,,,
Alagoas,Delmiro Gouveia,Terra,Bloq. da BR-423,"Jornada porR. A.",17/04/2012,220,,Crédito/ Infraestrutura/ Reforma Agrária,Credit/Infrastructure/Land Reform,,,
Alagoas,Flexeiras,Terra,Bloq. BR-101,"Contra Ordemde Despejos",06/08/2012,100,,Contra a injustiça e a violência/ Reforma Agrária,Against injustice and violence/Agrarian Reform,,,
Alagoas,Flexeiras,Terra,Bloq. da BR-101,"Jornada porR. A.",17/04/2012,220,,Crédito/ Infraestrutura/ Reforma Agrária,Credit/Infrastructure/Land Reform,,,
Alagoas,Jacaré dos Homens,Terra,Bloq. AL- 220,"Contra Ordemde Despejos",06/08/2012,90,,Contra a injustiça e a violência/ Reforma Agrária,Against injustice and violence/Agrarian Reform,,,
Alagoas,Joaquim Gomes,Questão Indígena,Bloqueio da BR-101,,27/08/2012,,,Educação,Education,,,
Alagoas,Joaquim Gomes,Questão Indígena,Bloq. BR-101,"T.I. WassuCocal",29/11/2012,150,,Cumprimento de acordos/ Indenização,Compliance with agreements/Indemnification,,,
Alagoas,Joaquim Gomes,Terra,Bloq. da BR-101,"Jornada porR. A.",17/04/2012,230,,Crédito/ Infraestrutura/ Reforma Agrária,Credit/Infrastructure/Land Reform,,,
Alagoas,Junqueiro,Terra,Bloq. da BR-101,"Jornada porR. A.",17/04/2012,90,,Crédito/ Infraestrutura/ Reforma Agrária,Credit/Infrastructure/Land Reform,,,
Alagoas,Maragogi,Terra,Bloq. da AL-101,"Jornada porR. A.",17/04/2012,200,,Crédito/ Infraestrutura/ Reforma Agrária,Credit/Infrastructure/Land Reform,,,
Alagoas,Marechal Deodoro,Terra,"Luta pela ReformaAgrária","Criminalização CarlosLima",17/08/2012,,,Reforma Agrária,Land reform,,Intimidação,Bullying
Alagoas,Matriz do Camaragibe,Terra,Bloq. da AL-105,"Jornada porR. A.",17/04/2012,180,,Crédito/ Infraestrutura/ Reforma Agrária,Credit/Infrastructure/Land Reform,,,
Alagoas,Messias,Terra,Bloq. da BR-101,"Faz.Pitombeiras",16/10/2012,100,,Assentamento de famílias,Settlement of families,,,
Alagoas,Messias,Terra,Bloq. da BR-101,"Jornada porR. A.",17/04/2012,400,,Crédito/ Infraestrutura/ Reforma Agrária,Credit/Infrastructure/Land Reform,,,
Alagoas,Messias,Terra,Bloq. da BR-101,,09/07/2012,100,,Reforma Agrária,Land reform,,,
Alagoas,Murici,Terra,Bloq. BR-104,"Contra Ordemde Despejos",06/08/2012,150,,Contra a injustiça e a violência/ Reforma Agrária,Against injustice and violence/Agrarian Reform,,,
Alagoas,Murici,Terra,Bloq. da BR-104,"Jornada porR. A.",17/04/2012,320,,Crédito/ Infraestrutura/ Reforma Agrária,Credit/Infrastructure/Land Reform,,,
Alagoas,Olho d Água das Flores,Terra,Bloq. da AL-220,"Jornada porR. A.",17/04/2012,120,,Crédito/ Infraestrutura/ Reforma Agrária,Credit/Infrastructure/Land Reform,,,
Alagoas,Piranhas,Terra,Bloq. da AL-220,"Jornada porR. A.",17/04/2012,110,,Crédito/ Infraestrutura/ Reforma Agrária,Credit/Infrastructure/Land Reform,,,
Alagoas,Porto Calvo,Terra,Bloq. da AL-105,"Faz.Junco",17/04/2012,200,,Reforma Agrária,Land reform,,,
Alagoas,Santana do Mundaú,Direitos Humanos,Bloq. AL-205,Quil. Filus,26/04/2012,200,,Políticas públicas,Public policy,,,
Alagoas,União dos Palmares,Terra,Bloq. da BR-104,"Jornada porR. A.",17/04/2012,250,,Crédito/ Infraestrutura/ Reforma Agrária,Credit/Infrastructure/Land Reform,,,
Bahia,Barreiras,Terra,Bloqueio da BR-242,,17/04/2012,50,,Reforma Agrária,Land reform,,,
Bahia,Eunápolis,Terra,Bloqueio da BR-101,,17/04/2012,50,,Reforma Agrária,Land reform,,,
Bahia,Itabela,Questão Indígena,"Bloq. da Estrada de Acessoàs Aldeias Boca da Mata,Meio da Mata, Cassiano eBarra Velha",,22/02/2012,150,,Infraestrutura,Infrastructure,,,
Bahia,Itabela,Questão Indígena,Bloq. da BR-101,"ContraAprovação da PEC-215",10/04/2012,2500,,Contra a injustiça e a violência/ Demarcação de área indígena,Against injustice and violence/Demarcation of indigenous area,,,
Bahia,Itamaraju,Terra,Bloqueio da BR-101,,17/04/2012,50,,Reforma Agrária,Land reform,,,
Bahia,Paulo Afonso,Terra,Bloqueio da BR-110,,17/04/2012,100,,Reforma Agrária,Land reform,,,
Bahia,Vitória da Conquista,Terra,Bloqueio da BR-116,,17/04/2012,50,,Reforma Agrária,Land reform,,,
Ceará,Caucaia,Questão Indígena,Bloq. BR-222,T. I. Tapeba,02/07/2012,200,,Contra a injustiça e a violência/ Regularização de Território,Against injustice and violence/Territorial Regularization,,,
Ceará,Caucaia,Questão Indígena,Bloq. da BR-020,T.I. Tapeba,17/08/2012,60,,Infraestrutura,Infrastructure,,,
Ceará,Fortaleza,Questões ambientais,"Bloq. da Avenida WashingtonSoares","Pelo Veto do Cód.Florestal",08/03/2012,600,,Educação/ Saúde/ Questões ambientais/ Reforma Agrária,Education/Health/Environmental Issues/Agrarian Reform,,,
Distrito Federal,Brasília,Terra,Bloqueio da BR-080,,21/11/2012,300,,Regularização fundiária,Land regularization,,,
Distrito Federal,Brasília,Terra,Bloqueio da BR-020,,21/11/2012,400,,Regularização fundiária,Land regularization,,,
Distrito Federal,Brasília,Terra,Bloqueio da BR-040,,21/11/2012,300,,Regularização fundiária,Land regularization,,,
Espírito Santo,Domingos Martins,Política Agrícola,"Jornada Nac. LutaCamponesa",Bloq. BR 262,30/05/2012,,,Crédito/ Políticas p ú b  l ic a s,Credit/Public Policies,,,
Espírito Santo,São Mateus,Política Agrícola,"Jornada Nac. LutaCamponesa","Bloqueio BR-101",30/05/2012,,,Crédito/ Políticas p ú b  l ic a s,Credit/Public Policies,,,
Goiás,Mundo Novo,Terra,Bloq. GO-164,Faz. Bacaba,26/11/2012,,,Assentamento de famílias,Settlement of families,,,
Maranhão,,Questões ambientais,"Bloq. da Estrada de FerroCarajás","Assent. Novo Orientee Outros",19/01/2012,2000,,Cumprimento de acordos,Compliance with agreements,,,
Maranhão,Alto Alegre do Pindaré,Questão Indígena,"Bloq. Estrada de FerroCarajás","Contra Portaria303",02/10/2012,200,,Questão Indígena,Indigenous Issues,,,
Maranhão,Bacabeira,Terra,Bloq. da BR-402,"Pov. SantaQ u  i té r  ia",14/11/2012,,,Contra Expropriação,Against Expropriation,,,
Maranhão,Barra do Corda,Questão Indígena,Bloq. da BR-226,"AldeiaCoquinho",20/03/2012,,,Infraestrutura/ Água,Infrastructure/Water,,,
Maranhão,Bom Jardim,Questão Indígena,Bloq. da BR-316,"T. I.Pindaré",04/09/2012,350,,Questão Indígena,Indigenous Issues,,,
Maranhão,Codó,Terra,Bloq. BR-316,"Faz.Manguinhos",05/09/2012,300,,Desapropriação,Expropriation,,,
Maranhão,Codó,Terra,Bloq. BR-316,"Ato em defesada Reforma Agrária",18/10/2012,1000,,Crédito/ Infraestrutura/ Reforma Agrária/ Regularização de Território,Credit/Infrastructure/Land Reform/Territorial Regularization,,,
Maranhão,Codó,Terra,"Bloq. Estrada de Acesso àCom. Três Irmãos","EmpresaCosta Pinto",01/03/2012,20,,Contra a injustiça e a violência,Against injustice and violence,,Ameaça de Morte,Death threat
Maranhão,São Vicente Ferrer,Questão Quilombola,Bloq. da MA-014,"Com.Quilombola de Charco",04/04/2012,250,,Titulação de área quilombola,Quilombola area titling,,,
Mato Grosso,Comodoro,Questão Indígena,Bloq. da BR-174,"ContraPortaria 303 e PEC-215",27/08/2012,300,,Questão Indígena,Indigenous Issues,,,
Mato Grosso,Cuiabá,Questão Indígena,Bloq. da BR-364,"ContraPortaria 303 e PEC-215",27/08/2012,300,,Questão Indígena,Indigenous Issues,,,
Mato Grosso,Glória do Oeste,Terra,Bloq. da BR-174,"Faz. RanchoVerde e Outras",18/06/2012,150,,Assentamento de famílias,Settlement of families,,,
Mato Grosso,Itaúba,Terra,Bloqueio da BR-163,,09/04/2012,200,,Assentamento de famílias,Settlement of families,,,
Mato Grosso,Juína,Questão Indígena,Bloq. MT-170,"T.I.Enawenê-Nawê",25/09/2012,,,Saúde,Cheers,,,
Mato Grosso,Mirassol do Oeste,Terra,Bloq. da BR-364,"Acamp.Sílvio Rodrigues e Outros",18/06/2012,220,,Assentamento de famílias,Settlement of families,,,
Mato Grosso,Mirassol do Oeste,Terra,Bloq. BR-364," Assent. NovaConquista",18/06/2012,,,Assentamento de famílias,Settlement of families,,,
Mato Grosso,Nossa Senhora do Livramento,Terra,Bloq. da BR-070,"1o Encontroda Agricultura Familiar",24/04/2012,300,,Desapropriação/ Regularização fundiária,Expropriation/Land regularization,,,
Mato Grosso,Sorriso,Terra,Bloq. BR-163,"Assent. SantaRosa I e Outros",16/04/2012,,,Contra a injustiça e a violência,Against injustice and violence,,,
Mato Grosso,,Terra,Bloq. da BR-163,"Assent.Santa Rosa e Outras",19/04/2012,500,,Assentamento de famílias,Settlement of families,,,
Mato Grosso,Tangará da Serra,Terra,Bloq.da MT-358,"Acamp.Ernesto Che Guevara",21/11/2012,300,,Desapropriação,Expropriation,,,
Mato Grosso do Sul,Campo Grande,Terra,Bloqueio da MS-060,,22/08/2012,200,,Reforma Agrária,Land reform,,,
Mato Grosso do Sul,Corumbá,Terra,Bloqueio da BR-262,,27/04/2012,,,Reforma Agrária,Land reform,,,
Mato Grosso do Sul,Dourados,Questão Indígena,Bloq. da MS-156,"AldeiasBororo e Jaguapiru",07/05/2012,,,Infraestrutura/ Cumprimento de acordos/ Educação/ Saúde,Infrastructure/Compliance/Education/Health,,,
Mato Grosso do Sul,Iguatemi,Terra,Bloqueio da MS-265,,02/05/2012,,,Reforma Agrária,Land reform,,,
Mato Grosso do Sul,Itaquiraí,Terra,Bloq. da BR-163,"MemóriaMassacre Eldorado",17/04/2012,300,,Contra a injustiça e a violência/ Assentamento de famílias,Against injustice and violence/Settlement of families,,,
Mato Grosso do Sul,Itaquiraí,Terra,Bloqueio da BR-163,,25/06/2012,300,,Reforma Agrária,Land reform,,,
Mato Grosso do Sul,Maracaju,Terra,Bloqueio da MS-162,,02/05/2012,,,Reforma Agrária,Land reform,,,
Mato Grosso do Sul,Miranda,Questão Indígena,Bloqueio da BR-262,,20/06/2012,200,,Cesta básica/ Saúde,Basic basket/Health,,,
Mato Grosso do Sul,Naviraí,Terra,Bloqueio da BR-163,,02/05/2012,,,Reforma Agrária,Land reform,,,
Mato Grosso do Sul,Naviraí,Terra,Bloqueio da BR-163,,19/11/2012,250,,Cesta básica/ Saúde/ Assentamento de famílias,Basic Basket/Health/Family Settlement,,,
Mato Grosso do Sul,Ponta Porã,Terra,Bloqueio da MS-164,,02/05/2012,,,Reforma Agrária,Land reform,,,
Mato Grosso do Sul,Terenos,Terra,Bloqueio da BR-262,,22/08/2012,,,Reforma Agrária,Land reform,,,
Minas Gerais,Jequitaí,Terra,Bloqueio da BR- 365,,17/04/2012,200,,Contra a injustiça e a violência/ Contra barragens/ Assentamento de famílias,Against injustice and violence/Against dams/Settlement of families,,,
Minas Gerais,Pirapora,Terra,Bloq. de Rod.,"Acamp. JoséBandeira",20/11/2012,250,,Contra a injustiça e a violência/ Contra impunidade,Against injustice and violence/Against impunity,,,
Minas Gerais,Pirapora,Terra,Bloq. da BR-365,"Chacina deFelisburgo",24/11/2012,200,,Contra a injustiça e a violência/ Contra impunidade,Against injustice and violence/Against impunity,,,
Minas Gerais,Uberlândia,Trabalhista,Bloq. BR-452,"Faz. Veio d'Água",24/05/2012,85,,Desapropriação,Expropriation,,Ameaça de Morte,Death threat
Minas Gerais,Uberlândia,Terra,Bloq. da Rodovia 452,"Faz.São José dos Cravos",30/03/2012,50,,Contra a injustiça e a violência/ Reforma Agrária,Against injustice and violence/Agrarian Reform,,,
Pará,Alenquer,Terra,Bloqueio da PA-254,,26/03/2012,250,,Infraestrutura/ Políticas p ú b  l ic a s,Infrastructure/Public Policies,,,
Pará,Altamira,Direitos Humanos,"Bloq. daTransamazônica","Agrovila N.Sra. Aparecida",23/10/2012,,,Infraestrutura,Infrastructure,,,
Pará,Altamira,Terra,"Bloq. da BR-163 emCachoeira da Serra",,28/09/2012,150,,Reforma Agrária,Land reform,,,
